,Date,edf_close,edf_pct0,edf_vol,tte_close,tte_pct0,tte_vol,detrended_edf_close,detrended_tte_close
80,2009-04-30,35.31,0.008779382611158182,2230.0,49.720001,0.03600154794848054,3899.4,3.81,-6.25
81,2009-05-04,35.62,-0.02723189219539579,1460.0,52.990002,-0.009435742236809097,2709.0,4.13,-2.98
82,2009-05-05,34.65,0.009235209235209263,2820.0,52.490002,0.01886069655703193,1392.0,3.17,-3.47
83,2009-05-06,34.97,0.018587360594795488,1720.0,53.48,0.006170549738219844,2293.8,3.49,-2.48
84,2009-05-07,35.62,0.02330151600224606,2170.0,53.810001,0.04348635860460215,2675.8,4.15,-2.15
85,2009-05-08,36.45,-0.05596707818930058,1940.0,56.150002,-0.014959946038826555,3103.2,4.99,0.19
86,2009-05-11,34.41,0.0037779715199071084,2580.0,55.310001,0.019345506791800693,2173.9,2.96,-0.64
87,2009-05-12,34.54,0.013028372900984353,1900.0,56.380001,-0.01702736755893286,2764.9,3.1,0.43
88,2009-05-13,34.99,0.023435267219205524,2530.0,55.419998,-0.032118351934981915,3634.2,3.56,-0.53
89,2009-05-14,35.81,0.014800335101926798,2040.0,53.639999,-0.012304232145865734,2289.0,4.38,-2.31
90,2009-05-15,36.34,0.010456796917996503,1830.0,52.98,0.04322385805964535,1610.1,4.92,-2.96
91,2009-05-18,36.72,-0.002723311546841023,1560.0,55.27,0.0,2471.9,5.31,-0.67
92,2009-05-19,36.62,0.02539595849262688,2600.0,55.27,0.012122290573548078,2375.7,5.22,-0.67
93,2009-05-20,37.55,-0.021038615179760245,1820.0,55.939999,-0.013943493277502661,2325.3,6.16,0.0
94,2009-05-21,36.76,0.016050054406964165,957.37,55.16,-0.002538071065989689,2392.0,5.38,-0.77
95,2009-05-22,37.35,0.010709504685408211,1470.0,55.02,0.01853873137041062,1444.2,5.97,-0.91
96,2009-05-26,38.42,0.001561686621551095,1490.0,56.040001,-0.016773786281695457,3861.6,7.05,0.11
97,2009-05-27,38.48,-0.02234927234927231,1560.0,55.099998,0.01833036364175533,1570.1,7.12,-0.83
98,2009-05-28,37.62,-0.017809675704412387,1500.0,56.110001,0.02744610537433423,2138.0,6.27,0.19
99,2009-05-29,36.95,0.0013531799729362692,3840.0,57.650002,0.031569799425158696,2583.0,5.61,1.73
100,2009-06-01,37.0,-0.000540540540540646,1490.0,59.470001,0.004708239369291434,2127.2,5.67,3.55
101,2009-06-02,36.98,-0.020822065981611626,1100.0,59.75,-0.03849370711297073,2585.3,5.66,3.83
102,2009-06-03,36.21,-0.01353217343275348,1360.0,57.450001,0.020713628882269353,2462.6,4.89,1.54
103,2009-06-04,35.72,-0.008398656215005573,1210.0,58.639999,-0.010743537018136684,1731.4,4.41,2.73
104,2009-06-05,35.42,-0.011857707509881465,1360.0,58.009998,-0.006033408241110538,1967.6,4.12,2.1
105,2009-06-08,35.0,0.01200000000000001,877.7,57.66,0.010405792577176776,1550.4,3.71,1.75
106,2009-06-09,35.42,0.0005646527385656519,863.69,58.259998,0.00017167868766487793,1306.0,4.14,2.36
107,2009-06-10,35.44,0.003386004514672747,1010.0,58.27,0.003603912819632571,2519.8,4.17,2.37
108,2009-06-11,35.56,0.0019685039370078705,1130.0,58.48,-0.021545810533515675,1734.9,4.29,2.58
109,2009-06-12,35.63,-0.04406399101880443,866.09,57.220001,-0.04316674164336354,1507.1,4.37,1.32
110,2009-06-15,34.06,0.002642395772166628,1520.0,54.75,-0.00785388127853881,2717.9,2.81,-1.14
111,2009-06-16,34.15,-0.006149341142020481,1190.0,54.32,-0.002945508100147376,1943.0,2.91,-1.57
112,2009-06-17,33.94,0.030936947554508043,1430.0,54.16,-0.0011078655834563245,2334.2,2.71,-1.73
113,2009-06-18,34.99,-0.0031437553586738387,1680.0,54.099998,0.003327190511171585,1692.7,3.77,-1.79
114,2009-06-19,34.88,-0.010894495412844152,1500.0,54.279999,-0.03739865581058677,1982.3,3.66,-1.6
115,2009-06-22,34.5,0.002608695652174031,1210.0,52.25,0.018373186602870906,2933.3,3.29,-3.63
116,2009-06-23,34.59,0.0,758.46,53.209999,-0.0007517572026265462,1596.3,3.39,-2.67
117,2009-06-24,34.59,0.0031801098583406073,1300.0,53.169998,0.0077111908110283345,1478.9,3.4,-2.71
118,2009-06-25,34.7,-0.021037463976945392,650.69,53.580002,0.0033593877058832877,1917.4,3.52,-2.29
119,2009-06-26,33.97,0.028260229614365695,1040.0,53.759998,0.020461366088592392,1931.2,2.8,-2.11
120,2009-06-29,34.93,-0.007443458345261944,1180.0,54.860001,-0.01148379490550866,1321.9,3.77,-1.01
121,2009-06-30,34.67,0.004038073262186304,1570.0,54.23,0.015305200073759906,1767.7,3.51,-1.64
122,2009-07-01,34.81,-0.03849468543521983,1270.0,55.060001,-0.046494750336092405,1741.6,3.66,-0.8
123,2009-07-02,33.47,-0.04511502838362702,1490.0,52.5,-0.007999961904761932,1843.5,2.33,-3.36
124,2009-07-06,30.83,0.002594875121634921,2710.0,52.080002,-0.027073808484108786,1773.5,-0.3,-3.78
125,2009-07-07,30.91,0.0012940795858944476,1750.0,50.669998,-0.0007893625730950315,1604.6,-0.21,-5.19
126,2009-07-08,30.95,0.013247172859450762,1240.0,50.630001,0.011258147121111062,2282.4,-0.16,-5.22
127,2009-07-09,31.36,-0.014349489795918324,1490.0,51.200001,-0.01972660117721481,1313.7,0.25,-4.65
128,2009-07-10,30.91,0.015205435134260759,1130.0,50.189999,0.03486750418146056,2339.5,-0.19,-5.66
129,2009-07-13,31.38,0.002868068833651982,953.83,51.939999,-0.005198325090456812,2232.3,0.29,-3.91
130,2009-07-14,31.47,0.021607880521131273,734.95,51.669998,0.037546024290536995,1261.0,0.39,-4.17
131,2009-07-15,32.15,-0.01244167962674958,1490.0,53.610001,0.015109065191026616,1834.9,1.08,-2.23
132,2009-07-16,31.75,-0.0047244094488188,1610.0,54.419998,0.0047776922005766664,2498.1,0.69,-1.42
133,2009-07-17,31.6,0.012658227848101111,1440.0,54.68,0.02231166788588146,1973.3,0.54,-1.16
134,2009-07-20,32.0,0.024375000000000036,1070.0,55.900002,0.011270071153127947,1549.4,0.95,0.07
135,2009-07-21,32.78,-0.0015253203172667096,1430.0,56.529999,-0.005306899085563366,2110.9,1.74,0.7
136,2009-07-22,32.73,0.017720745493431167,810.62,56.23,0.019028970300551284,2198.0,1.7,0.4
137,2009-07-23,33.31,-0.0447313119183429,1200.0,57.299999,0.0006980977434223323,2082.1,2.29,1.47
138,2009-07-24,31.82,-0.010056568196103122,2630.0,57.34,0.004011161492849524,1191.7,0.81,1.52
139,2009-07-27,31.5,0.01619047619047609,2220.0,57.57,-0.021017873892652528,1375.2,0.5,1.75
140,2009-07-28,32.01,0.03498906591690121,1570.0,56.360001,-0.015436461755917952,2985.4,1.01,0.54
141,2009-07-29,33.13,0.0543314216722004,2270.0,55.490002,0.011533591222433248,2702.3,2.14,-0.33
142,2009-07-30,34.93,-0.004580589750930342,2880.0,56.130001,-0.008551558728815967,1714.9,3.95,0.31
143,2009-07-31,34.77,0.007765314926660771,1810.0,55.650002,0.0030547707797028423,3028.4,3.8,-0.16
144,2009-08-03,35.04,-0.012842465753424515,1050.0,55.82,-0.003224668577570755,3163.0,4.08,0.01
145,2009-08-04,34.59,-0.02804278693263962,1260.0,55.639999,-0.004852624098717229,5165.3,3.64,-0.17
146,2009-08-05,33.62,-0.0026769779892920065,1600.0,55.369999,-0.0037926495176566766,1643.0,2.67,-0.44
147,2009-08-06,33.53,0.016701461377870652,1040.0,55.16,-0.015228426395939021,1498.5,2.59,-0.64
148,2009-08-07,34.09,-0.006160164271047264,1670.0,54.32,-0.011045636966126593,1979.4,3.16,-1.48
149,2009-08-10,33.88,-0.009149940968122827,1280.0,53.720001,-0.0057706812030775545,1874.0,2.96,-2.08
150,2009-08-11,33.57,0.03217158176943702,1160.0,53.41,0.029395244336266613,1544.1,2.66,-2.39
151,2009-08-12,34.65,0.010101010101010166,1280.0,54.98,0.0034557657329938873,2694.8,3.75,-0.81
152,2009-08-13,35.0,-0.006857142857142895,1960.0,55.169998,-0.0143193226144398,2576.6,4.1,-0.62
153,2009-08-14,34.76,-0.02330264672036808,1720.0,54.380001,-0.03199709393164585,2266.4,3.87,-1.41
154,2009-08-17,33.95,0.013254786450662692,1200.0,52.639999,0.019186987446561332,2096.9,3.07,-3.15
155,2009-08-18,34.4,0.015988372093023395,935.65,53.650002,0.00969237615312668,1636.6,3.53,-2.13
156,2009-08-19,34.95,0.013161659513590607,1080.0,54.169998,0.017906609485198954,1779.5,4.09,-1.61
157,2009-08-20,35.41,0.028240609997175925,1100.0,55.139999,0.03518322515747596,2747.1,4.56,-0.64
158,2009-08-21,36.41,0.014831090359791466,1650.0,57.080002,0.0001751576673034716,1957.5,5.57,1.3
159,2009-08-24,36.95,-0.004600811907983782,1470.0,57.09,0.00455417761429322,1184.7,6.11,1.32
160,2009-08-25,36.78,-0.00625339858618823,866.79,57.349998,-0.0015693113014580984,1550.5,5.95,1.58
161,2009-08-26,36.55,0.009849521203830314,1380.0,57.259998,0.014669927162763718,1438.6,5.73,1.49
162,2009-08-27,36.91,-0.006773232186399358,1390.0,58.099998,-0.00808944950393975,1812.4,6.1,2.33
163,2009-08-28,36.66,-0.0030005455537370773,1390.0,57.630001,-0.006246763729884308,976.3,5.86,1.87
164,2009-08-31,36.55,-0.015868673050615567,942.73,57.27,-0.028112449799196915,1292.1,5.76,1.51
165,2009-09-01,35.97,0.00834028356964156,1310.0,55.66,0.00988140495867773,2162.0,5.18,-0.1
166,2009-09-02,36.27,0.0011028398125172423,1290.0,56.209999,0.00480343363820368,2744.2,5.49,0.45
167,2009-09-03,36.31,0.01377031120903327,952.28,56.48,0.017174238668555386,1825.6,5.54,0.73
168,2009-09-04,36.81,0.005704971475142706,1360.0,57.450001,0.026979964717493976,2123.5,6.05,1.7
169,2009-09-08,36.9,-0.01300813008130075,997.83,59.0,0.023389847457627067,1300.8,6.15,3.25
170,2009-09-09,36.42,0.04063701263042274,1940.0,60.380001,0.010433868657935275,2391.0,5.68,4.63
171,2009-09-10,37.9,-0.007651715039577844,2100.0,61.009998,-0.00491721045458815,1549.1,7.16,5.27
172,2009-09-11,37.61,0.0015953203935124005,1360.0,60.709999,0.0036238017398089184,1894.3,6.88,4.97
173,2009-09-14,37.67,0.06716219803557211,904.54,60.93,0.007221385196126695,1658.2,6.95,5.19
174,2009-09-15,40.2,0.033084577114427915,6020.0,61.369999,0.0013036011292748562,1521.0,9.49,5.63
175,2009-09-16,41.53,-0.015169756802311696,3470.0,61.450001,-0.00976408446274879,2526.2,10.83,5.72
176,2009-09-17,40.9,-0.033985330073349695,2500.0,60.849998,0.010846343824037596,3158.3,10.21,5.12
177,2009-09-18,39.51,0.009364717792963884,6140.0,61.509998,-0.0045520729816964645,2049.8,8.83,5.78
