,date_time,total_demand,combined_cycle_gas_turbine_generation,oil_generation,coal_generation,nuclear_generation,wind_generation,pumped_storage_generation,nonpumped_storage_hydro_generation,open_cycle_gas_turbine_generation,other_generation,biomass_generation,embedded_solar_generation,embedded_wind_generation,BritNet_flow,total_ma7,detrended_total_ma7
509,2010-03-29,1937711,1001302,0,503093,347943,17357,13892,15452,0,0,0,0.0,33606.0,0.0,1865987.7142857143,-7111.245243996847
510,2010-03-30,1955349,1000267,0,472707,351375,57471,13414,14802,0,0,0,0.0,43083.0,0.0,1861780.4285714286,-9508.388101139572
511,2010-03-31,2024559,1017215,0,497011,336661,44726,24886,15580,0,0,0,0.0,73851.0,0.0,1869946.4285714286,9019.89761314611
512,2010-04-01,1989738,1005960,0,559888,338071,28527,15764,12916,0,0,0,8.0,70342.0,0.0,1874695.142857143,27627.326184574747
513,2010-04-02,1782153,915452,0,448997,343020,11644,16436,10379,0,0,0,0.0,57019.0,0.0,1859829.142857143,27841.754756003385
514,2010-04-03,1675273,834237,0,375496,352104,3661,22624,9584,46,0,0,0.0,21831.0,0.0,1857651.142857143,40727.04047028907
515,2010-04-04,1606583,808056,0,301419,356067,8999,14462,9149,0,0,0,6.0,53065.0,0.0,1853052.2857142857,61581.326184574515
516,2010-04-05,1637007,803015,0,269699,355199,46369,11172,12747,0,0,0,0.0,83538.0,0.0,1810094.5714285714,38685.18332743179
517,2010-04-06,1822613,868599,0,472427,352924,40487,23902,26809,0,0,0,3.0,73083.0,0.0,1791132.2857142857,31880.326184574515
518,2010-04-07,1856874,947006,0,551319,335837,9766,25098,26335,0,0,0,0.0,17799.0,0.0,1767177.2857142857,19791.754756003153
519,2010-04-08,1828304,959449,0,510566,330794,23104,16606,20972,0,0,0,12.0,26579.0,0.0,1744115.2857142857,7946.469041717472
520,2010-04-09,1751764,975964,0,438655,322044,5442,13716,19347,0,0,0,10.0,2293.0,0.0,1739774.0,13233.18332743179
521,2010-04-10,1545268,883475,0,252218,321686,3052,13812,14951,0,0,0,11.0,6529.0,0.0,1721201.857142857,24084.754756003153
522,2010-04-11,1527312,848679,0,240325,321588,1973,11624,13593,0,0,0,10.0,32368.0,0.0,1709877.4285714286,25352.89761314611
523,2010-04-12,1788102,948031,0,492880,321668,4165,21392,12712,0,0,0,8.0,32516.0,0.0,1731462.4285714286,61004.46904171747
524,2010-04-13,1815397,938694,0,544118,321739,7976,14824,12604,0,0,0,11.0,38611.0,0.0,1730431.5714285714,106435.89761314588
525,2010-04-14,1837544,938286,0,573820,321375,3502,18208,12239,0,0,0,1.0,26616.0,0.0,1727670.142857143,117027.75475600339
526,2010-04-15,1836440,959342,0,563962,320333,6089,15864,12907,0,0,0,7.0,21714.0,0.0,1728832.4285714286,121349.89761314611
527,2010-04-16,1778083,928759,0,503561,314103,18031,14494,13414,228,0,0,13.0,19127.0,0.0,1732592.2857142857,126665.46904171747
528,2010-04-17,1572032,862699,0,274937,303542,30350,13044,11958,158,0,0,14.0,21759.0,0.0,1736415.7142857143,108515.89761314611
529,2010-04-18,1530471,853260,0,255981,312883,5865,15144,12947,0,0,0,13.0,14753.0,0.0,1736867.0,103305.61189886043
530,2010-04-19,1790062,929239,0,543991,318241,15324,19070,13866,0,0,0,4.0,10789.0,0.0,1737147.0,97453.46904171747
531,2010-04-20,1822247,942386,0,488113,317907,39793,16290,12922,2,0,0,15.0,56793.0,0.0,1738125.5714285714,64132.611898860196
532,2010-04-21,1819529,953510,3644,538544,308616,13377,20398,12437,0,0,0,15.0,18609.0,0.0,1735552.0,56027.75475600315
533,2010-04-22,1817391,956085,0,580341,299658,9763,17428,9604,0,0,0,14.0,7335.0,0.0,1732830.7142857143,56197.89761314611
534,2010-04-23,1766070,931281,0,549819,291408,3803,24046,9861,0,0,0,14.0,4899.0,0.0,1731114.5714285714,59358.18332743156
535,2010-04-24,1551034,914435,0,256579,292635,8149,18700,9371,0,0,0,13.0,12659.0,0.0,1728114.857142857,64581.18332743156
536,2010-04-25,1536617,866527,0,228192,298533,10796,15798,9163,0,0,0,0.0,27998.0,0.0,1728992.857142857,71666.61189885996
